cusip,maturity,datedDate,coupon,baseCpi,term
9128273A8,2002-07-15,1997-07-15,0.03625,160.15484,5-Year
9128272M3,2007-01-15,1997-01-15,0.03375,158.43548,10-Year
9128273T7,2008-01-15,1998-01-15,0.03625,161.55484,10-Year
9128274Y5,2009-01-15,1999-01-15,0.03875,164,10-Year
9128275W8,2010-01-15,2000-01-15,0.0425,168.24516,10-Year
912828CZ1,2010-04-15,2004-10-15,0.00875,189.44516,5-Year 6-Month
9128276R8,2011-01-15,2001-01-15,0.035,174.04516,10-Year
912828FB1,2011-04-15,2006-04-15,0.02375,198.48667,5-Year
9128277J5,2012-01-15,2002-01-15,0.03375,177.56452,10-Year
912828GN4,2012-04-15,2007-04-15,0.02,202.9214,5-Year
912828AF7,2012-07-15,2002-07-15,0.03,179.8,10-Year
912828HW3,2013-04-15,2008-04-15,0.00625,211.36607,5-Year
912828BD1,2013-07-15,2003-07-15,0.01875,183.66452,10-Year
912828BW9,2014-01-15,2004-01-15,0.02,184.77419,10-Year
912828KM1,2014-04-15,2009-04-15,0.0125,211.633,5-Year
912828CP3,2014-07-15,2004-07-15,0.02,188.49677,10-Year
912828DH0,2015-01-15,2005-01-15,0.01625,190.94516,10-Year
912828MY3,2015-04-15,2010-04-15,0.005,216.7122,5-Year
912828EA4,2015-07-15,2005-07-15,0.01875,194.50968,10-Year
912828ET3,2016-01-15,2006-01-15,0.02,198.47742,10-Year
912828QD5,2016-04-15,2011-04-15,0.00125,220.7298,5-Year
912828FL9,2016-07-15,2006-07-15,0.025,201.95161,10-Year
912828GD6,2017-01-15,2007-01-15,0.02375,201.66452,10-Year
912828SQ4,2017-04-15,2012-04-15,0.00125,227.13073,5-Year
912828GX2,2017-07-15,2007-07-15,0.02625,207.25639,10-Year
912828HN3,2018-01-15,2008-01-15,0.01625,209.49645,10-Year
912828UX6,2018-04-15,2013-04-15,0.00125,231.16013,5-Year
912828JE1,2018-07-15,2008-07-15,0.01375,215.63997,10-Year
912828JX9,2019-01-15,2009-01-15,0.02125,214.69971,10-Year
912828C99,2019-04-15,2014-04-15,0.00125,234.31967,5-Year
912828LA6,2019-07-15,2009-07-15,0.01875,213.51819,10-Year
912828MF4,2020-01-15,2010-01-15,0.01375,216.2461,10-Year
912828K33,2020-04-15,2015-04-15,0.00125,234.18067,5-Year
912828NM8,2020-07-15,2010-07-15,0.0125,218.08532,10-Year
912828PP9,2021-01-15,2011-01-15,0.01125,218.75255,10-Year
912828Q60,2021-04-15,2016-04-15,0.00125,237.007,5-Year
912828QV5,2021-07-15,2011-07-15,0.00625,225.38381,10-Year
912828SA9,2022-01-15,2012-01-15,0.00125,226.33474,10-Year
912828X39,2022-04-15,2017-04-15,0.00125,243.19553,5-Year
912828TE0,2022-07-15,2012-07-15,0.00125,229.96306,10-Year
912828UH1,2023-01-15,2013-01-15,0.00125,230.82203,10-Year
9128284H0,2023-04-15,2018-04-15,0.00625,248.39153,5-Year
912828VM9,2023-07-15,2013-07-15,0.00375,232.71797,10-Year
912828B25,2024-01-15,2014-01-15,0.00625,233.33058,10-Year
9128286N5,2024-04-15,2019-04-15,0.005,252.20853,5-Year
912828WU0,2024-07-15,2014-07-15,0.00125,237.44594,10-Year
912828YL8,2024-10-15,2019-10-15,0.00125,256.56513,5-Year
912828H45,2025-01-15,2015-01-15,0.0025,236.85403,10-Year
912810FR4,2025-01-15,2004-07-15,0.02375,188.49677,20-Year 6-Month
912828ZJ2,2025-04-15,2020-04-15,0.00125,258.30093,5-Year
912828XL9,2025-07-15,2015-07-15,0.00375,237.14365,10-Year
91282CAQ4,2025-10-15,2020-10-15,0.00125,259.46997,5-Year
912810FS2,2026-01-15,2006-01-15,0.02,198.47742,20-Year
912828N71,2026-01-15,2016-01-15,0.00625,237.61129,10-Year
91282CCA7,2026-04-15,2021-04-15,0.00125,262.25027,5-Year
912828S50,2026-07-15,2016-07-15,0.00125,239.70132,10-Year
91282CDC2,2026-10-15,2021-10-15,0.00125,273.25771,5-Year
912810PS1,2027-01-15,2007-01-15,0.02375,201.66452,20-Year
912828V49,2027-01-15,2017-01-15,0.00375,241.55919,10-Year
91282CEJ6,2027-04-15,2022-04-15,0.00125,282.3464,5-Year
9128282L3,2027-07-15,2017-07-15,0.00375,244.61839,10-Year
91282CFR7,2027-10-15,2022-10-15,0.01625,296.22858,5-Year
9128283R9,2028-01-15,2018-01-15,0.005,246.66571,10-Year
912810PV4,2028-01-15,2008-01-15,0.0175,209.49645,20-Year
912810FD5,2028-04-15,1998-04-15,0.03625,161.74,30-Year
91282CGW5,2028-04-15,2023-04-15,0.0125,299.94933,5-Year
912828Y38,2028-07-15,2018-07-15,0.0075,251.01658,10-Year
91282CJH5,2028-10-15,2023-10-15,0.02375,306.2939,5-Year
912810PZ5,2029-01-15,2009-01-15,0.025,214.69971,20-Year
9128285W6,2029-01-15,2019-01-15,0.00875,252.50248,10-Year
912810FH6,2029-04-15,1999-04-15,0.03875,164.39333,30-Year
91282CKL4,2029-04-15,2024-04-15,0.02125,309.30787,5-Year
9128287D6,2029-07-15,2019-07-15,0.0025,255.79368,10-Year
91282CLV1,2029-10-15,2024-10-15,0.01625,314.65561,5-Year
912828Z37,2030-01-15,2020-01-15,0.00125,257.28368,10-Year
91282CNB3,2030-04-15,2025-04-15,0.01625,318.32947,5-Year
912828ZZ6,2030-07-15,2020-07-15,0.00125,256.39126,10-Year
91282CPH8,2030-10-15,2025-10-15,0.01125,323.4671,5-Year
91282CBF7,2031-01-15,2021-01-15,0.00125,260.31619,10-Year
91282CCM1,2031-07-15,2021-07-15,0.00125,268.0209,10-Year
91282CDX6,2032-01-15,2022-01-15,0.00125,277.20274,10-Year
912810FQ6,2032-04-15,2001-10-15,0.03375,177.5,30-Year 6-Month
91282CEZ0,2032-07-15,2022-07-15,0.00625,290.54829,10-Year
91282CGK1,2033-01-15,2023-01-15,0.01125,297.87606,10-Year
91282CHP9,2033-07-15,2023-07-15,0.01375,303.70803,10-Year
91282CJY8,2034-01-15,2024-01-15,0.0175,307.391,10-Year
91282CLE9,2034-07-15,2024-07-15,0.01875,313.78329,10-Year
91282CML2,2035-01-15,2025-01-15,0.02125,315.58677,10-Year
91282CNS6,2035-07-15,2025-07-15,0.01875,321.09758,10-Year
91282CPU9,2036-01-15,2026-01-15,0.01875,324.93471,10-Year
912810QF8,2040-02-15,2010-02-15,0.02125,216.1395,30-Year
912810QP6,2041-02-15,2011-02-15,0.02125,218.991,30-Year
912810QV3,2042-02-15,2012-02-15,0.0075,225.96062,30-Year
912810RA8,2043-02-15,2013-02-15,0.00625,229.911,30-Year
912810RF7,2044-02-15,2014-02-15,0.01375,233.059,30-Year
912810RL4,2045-02-15,2015-02-15,0.0075,235.4815,30-Year
912810RR1,2046-02-15,2016-02-15,0.01,236.94448,30-Year
912810RW0,2047-02-15,2017-02-15,0.00875,241.3925,30-Year
912810SB5,2048-02-15,2018-02-15,0.01,246.5965,30-Year
912810SG4,2049-02-15,2019-02-15,0.01,251.6355,30-Year
912810SM1,2050-02-15,2020-02-15,0.0025,257.09503,30-Year
912810SV1,2051-02-15,2021-02-15,0.00125,260.3515,30-Year
912810TE8,2052-02-15,2022-02-15,0.00125,278.375,30-Year
912810TP3,2053-02-15,2023-02-15,0.015,297.254,30-Year
912810TY4,2054-02-15,2024-02-15,0.02125,306.90376,30-Year
912810UH9,2055-02-15,2025-02-15,0.02375,315.549,30-Year
912810US5,2056-02-15,2026-02-15,0.02375,324.088,30-Year
